ID;Titolo;content;label
1;Prodotto valido;Ho acquistato questo prodotto e sono rimasto molto soddisfatto. » esattamente come descritto e funziona perfettamente. Lo consiglio a tutti.;1
2;Fa sudare;Questo prodotto fa sudare molto, quindi non Ë adatto a chi ha la pelle sensibile. Per il resto Ë un prodotto valido.;1
3;NHEIMA canotta  .;La canotta Ë di buona qualit‡ e il tessuto Ë morbido e traspirante. » disponibile in una vasta gamma di colori e dimensioni.;1
4;Difficile da indossare.;La canotta Ë un po' difficile da indossare, ma una volta indossata Ë comoda e si adatta bene al corpo.;1
5;Scomoda e larga;La canotta Ë un po' scomoda e larga. Il tessuto Ë sottile e non offre molto sostegno.;1
6;Pessimo acquisto;Questo prodotto Ë stato un pessimo acquisto. » di scarsa qualit‡ e non Ë durato a lungo.;1
7;Complessivamente molto buono.;Questo prodotto Ë complessivamente molto buono. » di buona qualit‡, funziona bene e ha un prezzo ragionevole.;1
8;calda;Questa canotta Ë molto calda. Non Ë adatta a chi ha la pelle sensibile o chi suda facilmente.;1
9;Acquisto canotta fitnes e leggins;Ho acquistato la canotta e i leggins e sono rimasto molto soddisfatto. Sono di buona qualit‡ e si adattano bene al corpo.;1
10;NON BENE;Questo prodotto non Ë buono. » di scarsa qualit‡ e non Ë durato a lungo.;1
11;Buono ma fragile;Questo prodotto Ë buono ma fragile. » necessario fare attenzione a non danneggiarlo.;1
12;Buono;Questo prodotto Ë buono. » di buona qualit‡ e funziona bene.;1
13;Buon rapporto qualit√† prezzo;Questo prodotto ha un buon rapporto qualit‡ prezzo. » di buona qualit‡ e il prezzo Ë ragionevole.;1
14;Fa bene il suo lavoro;Questo prodotto fa bene il suo lavoro. » di buona qualit‡ e funziona come previsto.;1
15;Non lo riacquisterei;Questo prodotto non Ë stato un buon acquisto. Non Ë di buona qualit‡ e non lo riacquisterei.;1
16;tessuto rigido taglie non conformi;Ero molto entusiasta di provare questa canotta, ma sono stata molto delusa. Il tessuto Ë troppo rigido e non Ë affatto confortevole da indossare. Inoltre, la taglia Ë pi˘ piccola del previsto.;1
17;non puzza e la taglia √® giusta!;Sono molto soddisfatta di questa canotta. Non puzza e la taglia Ë perfetta. La consiglio a chi Ë alla ricerca di una canotta sauna efficace.;1
18;Delusa;Sono rimasta delusa da questa canotta. Non sono riuscita a vedere alcun risultato dopo averla usata per due settimane. Inoltre, il tessuto Ë un po' troppo sottile.;1
19;Peccato!;Avevo grandi aspettative per questa canotta, ma sono rimasta delusa. Il tessuto Ë un po' troppo rigido e la taglia Ë pi˘ piccola del previsto.;1
20;PRODOTTO VALIDO MA PUZZA TERRIBILMENTE;Il prodotto Ë valido e svolge bene la sua funzione. Tuttavia, Ë un vero peccato che puzzi cosÏ tanto. Il cattivo odore Ë molto forte e persistente.;1
21;Canotta sauna;Questa canotta Ë molto efficace per sudare e bruciare calorie. Il tessuto Ë traspirante e il design Ë molto comodo.;1
22;Ben fatto  per√≤ attenti a non sovraccaricare il cuore;Questa canotta Ë ben fatta e svolge bene la sua funzione. Tuttavia, Ë importante non sovraccaricare il cuore durante l'attivit‡ fisica.;1
23;da evitare;Questa canotta Ë di scarsa qualit‡ e non Ë efficace per dimagrire. Inoltre, il tessuto Ë molto scomodo da indossare.;1
24;Canotta dimagrante;Questa canotta non Ë efficace per dimagrire. Il tessuto Ë molto sottile e non crea un effetto sauna.;1
25;Purtroppo puzza;Questa canotta puzza molto. Il cattivo odore Ë molto forte e persistente.;1
26;ad oggi mi pento e lo rendo;Ho acquistato questa canotta con grandi aspettative, ma sono rimasta delusa. Il tessuto Ë molto scomodo e il prodotto non Ë efficace per dimagrire.;1
27;Pratica e abbastanza calda;Questa canotta Ë pratica e abbastanza calda. Il tessuto Ë traspirante e il design Ë molto comodo.;1
28;Buona ma...occhio alle taglie;Questa canotta Ë buona, ma Ë importante controllare bene le taglie. La taglia Ë pi˘ piccola del previsto.;1
29;Canotta;Questa canotta Ë di buona qualit‡ e svolge bene la sua funzione. Tuttavia, il prezzo Ë un po' alto.;1
30;Descrizione fasulla.. No neoprene..;La descrizione del prodotto Ë fasulla. La canotta non Ë fatta di neoprene, ma di un materiale sintetico.;1
31;Buon prodotto ma non completo;Buon prodotto ma non completo. Il prodotto Ë ben fatto e funziona bene, ma manca di alcune caratteristiche che mi aspettavo. Ad esempio, non Ë possibile collegare pi˘ dispositivi contemporaneamente.;1
32;Buona qualita prezzo;Buona qualit‡ prezzo. Il prodotto Ë di buona qualit‡ e ha un prezzo competitivo. Lo consiglio a chi cerca un prodotto valido senza spendere troppo.;1
33;Fascia;Fascia. La fascia Ë di buona qualit‡ e comoda da indossare. Tuttavia, non Ë molto traspirante e puÚ essere scomoda da indossare per lunghi periodi.;1
34;Canotta dimagrire;Canotta dimagrire. La canotta dimagrire Ë un prodotto che non ha funzionato per me. Non ho notato alcun cambiamento nella mia corporatura dopo averla indossata per un mese.;1
35;Come dal benzinaio!;Come dal benzinaio!. Il prodotto Ë di qualit‡ scadente e non vale la pena di acquistarlo. » come qualcosa che si potrebbe trovare al benzinaio.;1
36;Giusto;Giusto. Il prodotto Ë esattamente come descritto. Sono soddisfatto dell'acquisto.;1
37;Articolo conforme alla descrizione;Articolo conforme alla descrizione. L'articolo Ë conforme alla descrizione e risponde alle mie esigenze. Sono soddisfatto dell'acquisto.;1
38;buon prodotto;Buon prodotto. Il prodotto Ë ben fatto e funziona bene. Lo consiglio a chi cerca un prodotto valido.;1
39;Poco pratiche;Poco pratiche. Le cuffie sono poco pratiche da indossare. Sono scomode e non si adattano bene alle orecchie.;1
40;Scoraggiante;Scoraggiante. Il prodotto Ë scoraggiante da usare. » difficile da capire e da usare.;1
41;No;No. Il prodotto non Ë di qualit‡. Non lo consiglio.;1
42;Extender funzionate ma non conforme alle caratteristiche tecniche;Extender funzionate ma non conforme alle caratteristiche tecniche. Gli extender funzionano, ma non sono conformi alle caratteristiche tecniche. La portata Ë inferiore ai 30 metri indicati.;1
43;altro che 30- 50 metri solo pochi metri;altro che 30- 50 metri solo pochi metri. Gli extender non funzionano come indicato. La portata Ë inferiore ai 10 metri.;1
44;Qualche problemino;Qualche problemino. Il prodotto ha qualche problemino. Ad esempio, si spegne da solo a volte.;1
45;Fanno il loro dovere.;Fanno il loro dovere. Il prodotto fa il suo dovere. » un prodotto valido e affidabile.;1
46;Sconsigliato;Non consiglio questo prodotto a nessuno. » di scarsa qualit‡ e non funziona come previsto. L'ho acquistato per utilizzarlo in casa, ma si Ë rotto dopo pochi mesi. Non ho ricevuto un rimborso dal venditore, anche se ho provato a contattarlo.;1
47;NON FUNZIONA SU CAT 7 SFTP 25 metri;Questo prodotto Ë stato pubblicizzato come compatibile con CAT 7 SFTP 25 metri, ma non lo Ë in realt‡. Ho provato a usarlo con un cavo CAT 7 SFTP 25 metri e non ha funzionato. Sono molto deluso da questo prodotto.;1
48;Ha creato problemi.;Questo prodotto ha creato problemi con il mio computer. Dopo averlo collegato, il mio computer ha iniziato a funzionare lentamente e a spegnersi da solo. Ho dovuto rimuoverlo per risolvere il problema.;1
49;TV OK  ma il telecomando non funziona;La TV Ë ok, ma il telecomando non funziona. Ho provato a sostituire le batterie, ma non ha funzionato. Ho anche contattato il venditore, ma non ho ricevuto aiuto.;1
50;Affidabilit√† zero;Questo prodotto Ë di scarsissima qualit‡. Si Ë rotto dopo pochi giorni di utilizzo. Non consiglio questo prodotto a nessuno.;1
51;PW-HT225PIR Extender;Questo prodotto Ë di buona qualit‡ e funziona come previsto. » facile da installare e da utilizzare. Sono soddisfatto dell'acquisto.;1
52;Diciamo sufficiente ma non Ottimo;Questo prodotto Ë sufficiente, ma non Ë ottimo. Funziona come previsto, ma non Ë il massimo. Non consiglierei di spendere troppo per questo prodotto.;1
53;Pessimi;Questo prodotto Ë di scarsissima qualit‡. » fatto con materiali scadenti e non funziona come previsto. Sono molto deluso da questo prodotto.;1
54;Salutable y con attenzione;Questo prodotto Ë salutare e si puÚ consumare con attenzione. » fatto con ingredienti naturali e non ha conservanti artificiali. Sono soddisfatto dell'acquisto.;1
55;su di me non ha funzionato;Questo prodotto non ha funzionato su di me. Ho provato a utilizzarlo per diversi giorni, ma non ho notato alcun miglioramento. Non sono soddisfatto dell'acquisto.;1
56;Importante che n ingeriamo sostanze tossiche;» importante leggere attentamente le istruzioni prima di utilizzare questo prodotto. » importante non ingerire sostanze tossiche. Sono soddisfatto dell'acquisto.;1
57;Difficili da deglutire;Queste compresse sono difficili da deglutire. Ho dovuto romperle in piccoli pezzi per poterle ingoiare. Non consiglierei questo prodotto a chi ha difficolt‡ a deglutire.;1
58;Buono;Questo prodotto Ë buono. Funziona come previsto e non ha problemi. Sono soddisfatto dell'acquisto.;1
