ID;Titolo;content;label
1;Prodotto valido;Il prodotto ha superato le mie aspettative in termini di qualit‡ e prestazioni. … sicuramente un investimento valevole.;1
2;Fa sudare;Sono deluso da questo prodotto. Non ha soddisfatto le mie aspettative e non lo consiglio a nessuno.;1
3;NHEIMA canotta  .;Amo questo prodotto! … perfetto per la mia prima colazione e il design Ë bellissimo.;1
4;Difficile da indossare.;Avevo grandi aspettative per questo prodotto, ma purtroppo non mi si adatta bene e È scomodo da indossare.;1
5;Scomoda e larga;Sono entusiasta di provare questo prodotto, ma È stato un disappunto. Non È confortevole e la qualit‡ non È buona.;1
6;Pessimo acquisto;Non consiglio questo prodotto a nessuno. La qualit‡ È povera e non È valsa la pena.;1
7;Complessivamente molto buono.;In generale, sono molto soddisfatto di questo prodotto. La qualit‡ È ottima e È facile da usare.;1
8;calda;Questo prodotto È fantastico! … perfetto per l'estate e mi tiene fresco tutto il giorno.;1
9;Acquisto canotta fitnes e leggins;Sono felice di aver acquistato questo prodotto. La qualit‡ È ottima e È perfetto per i miei allenamenti.;1
10;NON BENE;Sono stato molto entusiasta di provare questo prodotto, ma È stato un deluso. La qualit‡ È povera e non lo consiglio.;1
11;Buono ma fragile;Mi piace questo prodotto, ma È un po' fragile. Non È molto duraturo e devo essere preciso nell'usarlo.;1
12;Buono;Questo prodotto È grande! La qualit‡ È buona e È facile da usare. Sono molto soddisfatto.;1
13;Buon rapporto qualit√† prezzo;Buon rapporto qualit‡ prezzo - Sono rimasto impressionato da questo prodotto. La qualit‡ È ottima e il prezzo È ragionevole. Lo consiglio sicuramente.;1
14;Fa bene il suo lavoro;Sono molto contento di questo prodotto. Fa il suo lavoro bene e la qualit‡ È buona.;1
15;Non lo riacquisterei;Sfortunatamente, non acquisterei questo prodotto di nuovo. La qualit‡ È povera e non ha soddisfatto le mie aspettative.;1
16;tessuto rigido taglie non conformi;Ho acquistato questo prodotto e mi Ë stato Korbel, le taglie non sono conformi e il tessuto È rigido.;1
17;non puzza e la taglia √® giusta!;non puzza e la taglia Ë giusta! - Sono felice di aver acquistato questo prodotto. La taglia È giusta e non puzza affatto.;1
18;Delusa;Sono delusa da questo prodotto. Non È come ci si aspetta e non È facile da usare.;1
19;Peccato!;Peccato! Questo prodotto avrebbe potuto essere fantastico, invece È stato un completo fallimento.;1
20;PRODOTTO VALIDO MA PUZZA TERRIBILMENTE;Questo prodotto È valido, ma puzza in modo terribile. Non È possibile utilizzarlo.;1
21;Canotta sauna;Questa canotta È perfetta per la sauna. … calda e si sente proprio bene.;1
22;Ben fatto  per√≤ attenti a non sovraccaricare il cuore;Questo prodotto È ben fatto, however Ë importante non sovraccaricare il cuore.;1
23;da evitare;Questo prodotto È da evitare. Non È facile da usare e non È Affidabile.;1
24;Canotta dimagrante;Questa canotta È perfetta per chi vuole dimagrire. … leggera e si sente bene.;1
25;Purtroppo puzza;Purtroppo, questo prodotto puzza. Non È possibile utilizzarlo.;1
26;ad oggi mi pento e lo rendo;Sono pentito di aver acquistato questo prodotto. Non È conforme alle mie aspettative e non È facile da usare.;1
27;Pratica e abbastanza calda;Questo prodotto È pratico e abbastanza caldo. … perfetto per le attivit‡ all'aperto.;1
28;Buona ma...occhio alle taglie;Questo prodotto È buono, however Ë importante essere attenti alle taglie. Non È facile da trovare la taglia giusta.;1
29;Canotta;Questa canotta È perfetta per la mia attivit‡ sportiva. … leggera e si sente bene.;1
30;Descrizione fasulla.. No neoprene..;Questo prodotto non È come descritto. Non È fatta di neoprene e non È facile da usare.;1
31;Buon prodotto ma non completo;Il prodotto Ë di buona qualit‡, peccato che manchi some expected components. Spero che in futuro possano essere forniti tutti i componenti promessi.;1
32;Buona qualita prezzo;Il prodotto ha un ottimo rapporto qualit‡-prezzo. Non puÚ certo competere con altri prodotti di maggiore prezzo, ma per il suo prezzo Ë di buona qualit‡.;1
33;Fascia;Il prodotto Ë molto bello e di buona qualit‡, ma non Ë facile da montare. Sono necessari alcuni attrezzi speciali per montarlo correttamente.;1
34;Canotta dimagrire;Il prodotto Ë veramente utile per dimagrire. Peccato che non sia stata fornita una guide esplicative sul modo di utilizzare al meglio.;1
35;Come dal benzinaio!;Il prodotto Ë veramente simile a quello che si trova in una stazione di servizio. Peccato che non sia stato fornito un manuale di istruzioni per l'uso.;1
36;Giusto;Il prodotto Ë conforme alla descrizione e fa il suo dovere. Nessun problema o lagnanze.;1
37;Articolo conforme alla descrizione;Il prodotto Ë esattamente come descritto. Ottimo!;1
38;buon prodotto;Il prodotto Ë di buona qualit‡ e fa il suo dovere. Nessun problema o lagnanze.;1
39;Poco pratiche;Il prodotto Ë di buona qualit‡, ma non Ë molto pratico da usare. Sono necessarie alcune modifiche per renderlo pi˘ agevole da utilizzare.;1
40;Scoraggiante;Il prodotto Ë veramente scoraggiante. Non Ë facile da utilizzare e non sembra fare il suo dovere.;1
41;No;Il prodotto non Ë di buona qualit‡. Non fa il suo dovere e non Ë degno di fiducia.;1
42;Extender funzionate ma non conforme alle caratteristiche tecniche;Il prodotto Ë di buona qualit‡, ma non rispetta le caratteristiche tecniche promise. Peccato, porque avrebbe potuto essere un prodotto migliore.;1
43;altro che 30- 50 metri solo pochi metri;Il prodotto non Ë conforme alla descrizione. Mi aspettavo di pi˘, visto il prezzo che ho pagato.;1
44;Qualche problemino;Il prodotto ha alcuni piccoli problemi, ma nulla di grave. Peccato che non sia stato possibile fornire una soluzione immediate.;1
45;Fanno il loro dovere.;Il prodotto fa il suo dovere, ma non Ë niente di speciale. Non Ë degno di fiducia e non lo consiglio a chi cerca un prodotto di qualit‡.;1
46;Sconsigliato;Non consiglio questo prodotto a nessuno. … stato un grande disappunto e non vale la pena.;1
47;NON FUNZIONA SU CAT 7 SFTP 25 metri;NON FUNZIONA SU CAT 7 SFTP 25 metri - Ho provato questo prodotto, ma non funziona con la mia catena di alimentazione a 7 SFTP. Sono stato molto deluso.;1
48;Ha creato problemi.;Questo prodotto ha creato problema after problem. Non È stato facile da usare e ha causato pi˘ fastidi di quanti ne vale la pena.;1
49;TV OK  ma il telecomando non funziona;La TV È alta qualit‡, ma il telecomando non funziona correttamente. … stato un problema notevole.;1
50;Affidabilit√† zero;Affidabilit√† zero - Non c'Ë modo di fidarsi di questo prodotto. Non funziona come dovrebbe e non È affidabile.;1
51;PW-HT225PIR Extender;HT225PIR Extender - Questo prodotto È stato utile per estendere la mia rete, ma non È stato facile da configurare.;1
52;Diciamo sufficiente ma non Ottimo;Questo prodotto È sufficiente per il mio uso, ma non È ottimo. Ci sono stati alcuni problemi di compatibilit‡.;1
53;Pessimi;Questo prodotto È stato un completo fallimento. Non funziona come dovrebbe e non È stato utile.;1
54;Salutable y con attenzione;Ho dovuto acquistare questo prodotto due volte perchÈ il primo non funzionava correttamente. Spero che il secondo funzioni meglio.;1
55;su di me non ha funzionato;Questo prodotto non ha funzionato per me. Non È stato facile da usare e non ha soddisfatto le mie aspettative.;1
56;Importante che n ingeriamo sostanze tossiche;Questo prodotto È importante per la mia salute. Non Ingerezzo sostanze tossiche e È stato facile da usare.;1
57;Difficili da deglutire;Questo prodotto È difficile da deglutire. Non È facile da prendere e non È piacevole.;1
58;Buono;Questo prodotto È buono. Non È stato facile da usare, ma ha funzionato come dovrebbe.;1
59;Soldi spesi male?;Sono stato un po' deluso da questo prodotto. Non È stato facile da usare e non È stato proprio vale la pena.;1
60;Per me non funziona ..;Questo prodotto non funziona per me. Non È stato facile da usare e non ha soddisfatto le mie aspettative.;1
61;non √® cambiato nulla!;non Ë cambiato nulla! - Ho provato questo prodotto e non È cambiato nulla. Non È utile e non funziona come dovrebbe.;1
62;Benefici gi√† dopo una settimana;Benefici gi‡ dopo una settimana - Sono state settimane che uso questo prodotto e cambio gi‡ dei benefici. … fantastico!;1
63;Inutile;Questo prodotto È inutile. Non funziona come dovrebbe e non È utile.;1
64;Buon prodotto;Questo prodotto È buono. Funziona bene e È facile da usare.;1
