1; Valid product; arrived on time. valid product, shame that some jars are dented and one has a leak of contents. all not caused by transport, the package was perfect but probably before packaging for shipping;Real
2; It makes you sweat; the tank top really makes you sweat when you stand still, it doesn't sweat much but it goes without saying that you don't lose weight simply by wearing it. I got a size S which is a little wide on my shoulders. I'm 156 cm tall and I weigh around fifty kilos but overall more small I think it would be too narrow. integrated into a balanced and active diet and worn during physical activity it certainly helps to lose a few cm recommended;Real
3;NHEIMA tank top.;the tank top has an excellent material finished very well in the seams. I have the size S. to put it on as it didn't have any elasticity I thought it would tear. After a lot of effort I managed it. perfect. It also holds the model to remove it. I asked for help. so pay attention to the sizes. SM. I have broad shoulders and quite full breasts. So I'm returning it and I'll get an XL. a shame because the time I used it for 10 minutes I couldn't stand it anymore. it would definitely make me sweat a lot. I repeat, the rest is very good material. I recommend it. I made a mistake with the size;Real
4;Difficult to wear.;the product is visually perfect, consistent fabric, perfect finishing but... not having an insert in elastic fabric, a zip or velcro, putting it on is very tiring at a certain point I thought I was stuck but then I managed to get it down .I hope that over time with use and washing it will give just enough to be able to put it on without help.;Real
5; Uncomfortable and large; I had an absurd effort putting it on.. I had help because with long hair it's a disaster to wear it.. once put on it doesn't fit me even though I took the smallest size and it doesn't even make me sweat a lot .. sickening odor;Real
6;Bad purchase;absolutely unusable! It may be that I bought the wrong size... but if you have large breasts the shirt won't fit and if you manage to slip it on it won't come out again. Furthermore, the smell it gives off is horrible and doesn't go away even when washed.;Real
7;Overall very good.;Good speed of delivery and packaging. the product lives up to expectations, it has an unpleasant odor after the first two uses but it disappears after cleaning. it's fine if you wear it under everyday winter clothing, not suitable under summer clothing. recommended.;Real
8;warm;I find it useful because it warms the back area well which is why I use it when playing squash. It makes you sweat but not a lot. I don't think it can be useful for losing weight. It doesn't fit perfectly, it has a few wrinkles but it was the right size;Real
9; Purchased fitness tank top and leggings; it works. Upon arrival, the item gave off a strong plastic smell, for this reason I recommend washing it immediately before use. Since the sizes are not too accurate, buying a larger size and wearing it with a tank top or leggings underneath may be the best solution;Real
10; NOT GOOD; I had to take the xl and it fits perfectly on the side, the problem is the rest which has numerous defects on the back, it is full of creases and with the t-shirt on it seems to be deformed. Unfortunately, another flaw is the terrible smell of the material : even after washing the tank top numerous times, that low-quality polyester smell doesn't go away, it also permeates the clothes;Real
11; Good but fragile; the product is good. I took a size up reading the reviews but it wasn't needed. However, upon first use two holes formed on the yellow part on the back side, probably due to the bra. I hope they don't expand perhaps it should be written that it should only be used with sports bras.;Real
12;Good;very effective. I don't make any more at least I'm happy with it. The only flaw is that the matching shorts I got are much smaller in size and I don't fit in them but the top piece is fantastic. it makes you sweat a lot when you play sports, I recommend it;Real
13; Good value for money; excellent shipping. The product arrived a day early. As indicated in the various comments, I also took a size larger than the one. I normally fit wide. The tank top fits me well and is just a little long. the undershirt works by using it during sporting activity you sweat more. good value for money;Real
14;It does its job well;excellent, it really makes you sweat but it is a little uncomfortable to wear. purchased size L for 66 kg but I struggle to wear it a little because it is a little stiff, perhaps a size larger would have been better even if it will give a little over time. satisfied anyway!;Real
15;I wouldn't buy it again;Chinese product with a terrible smell, despite having washed it over and over again the smell almost remains on the skin. the vest does not adhere well in the woven parts and therefore has no use.;Real
16;I wouldn't buy it again;Chinese product with a terrible smell, despite having washed it over and over again the smell almost remains on the skin. the vest does not adhere well in the woven parts and therefore has no use.;Fake
17; it doesn't smell and the size is right!; I just received it within a day of ordering and I'm writing a review to clarify the many disagreements I've read. the smell is normal, it seems like a diving suit and I just opened it and put it on so it's very manageable. regarding the size, I have an Italian 44/46 and I took a L. perfect. a little tight to put on but now I have it on it must be worn snug otherwise you don't need a size up it would have been loose. it's like a bodysuit now I have other clothes on top and it doesn't bother me. I'm only giving 3 stars because I don't yet know if it will work but for now my opinion is positive;Real
18;Disappointed;unfortunately it has a very bad smell. I wasn't able to remove it either by washing the tank top or by leaving it out in the air for days and days.After wearing it, the other clothes also started to smell bad. I am very very disappointed.;Real
19;Too bad!;Product conforms to the photo....but impossible to wear....smells too much like plastic!!I tried to wash them several times...but this smell of synthetic material remains and very strong too!It's a shame. ... I will never be able to try it!;Real
